Campo de estudio;Países;Periodo;Total
10 Servicios;UE-28;2017;..
10 Servicios;UE-28;2016;..
10 Servicios;UE-28;2015;..
10 Servicios;UE-28;2014;..
10 Servicios;UE27_2020;2020;..
10 Servicios;UE27_2020;2019;2,4
10 Servicios;UE27_2020;2018;1,9
10 Servicios;UE27_2020;2017;..
10 Servicios;UE27_2020;2016;..
10 Servicios;UE27_2020;2015;..
10 Servicios;UE27_2020;2014;..
